BCR,CD40,IL21_4,STAT,Syk,PI3K,BTK,CBM,TRAF6,NEMO_IKK,RelA_p50,IRF4,RAF,Erk,BCL6,Blimp1,cMyc,AID,BCL2,ID
1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,1,1,41
1,1,0,0,1,0,1,1,1,2,2,2,1,1,0,0,1,0,1,41
1,1,1,1,1,0,1,1,1,2,2,2,1,0,0,1,1,0,1,41
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,42
0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,42
0,1,0,0,0,0,0,0,1,2,2,2,1,1,0,0,0,0,1,42
0,1,1,1,0,0,0,0,1,2,2,2,1,0,0,1,0,0,1,42
1,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,1,42
1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,42
1,1,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,42
1,1,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,42
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43
0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,43
0,1,0,0,0,0,0,0,1,2,2,2,0,0,1,0,0,0,0,43
0,1,1,1,0,0,0,0,1,2,2,2,0,0,1,0,0,1,0,43
1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,43
1,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,0,1,0,43
1,1,0,0,1,0,1,1,1,2,2,2,1,1,1,0,0,0,0,43
1,1,1,1,1,0,1,1,1,2,2,2,1,0,1,0,0,1,0,43
0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,44
0,0,1,1,0,0,0,0,0,2,2,2,0,0,0,1,0,0,1,44
0,1,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,1,44
0,1,1,1,0,0,0,0,1,2,2,2,0,0,0,1,0,0,1,44
1,0,0,0,1,0,1,1,0,2,2,2,1,1,0,0,0,0,1,44
1,0,1,1,1,0,1,1,0,2,2,2,1,0,0,1,0,0,1,44
1,1,0,0,1,0,1,1,1,2,2,2,1,1,0,0,0,0,1,44
1,1,1,1,1,0,1,1,1,2,2,2,1,0,0,1,0,0,1,44
0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,0,0,0,0,45
0,0,1,1,0,0,0,0,0,2,2,2,0,0,1,0,0,1,0,45
0,1,0,0,0,0,0,0,1,2,2,2,0,0,1,0,0,0,0,45
0,1,1,1,0,0,0,0,1,2,2,2,0,0,1,0,0,1,0,45
1,0,0,0,1,0,1,1,0,2,2,2,1,1,1,0,0,0,0,45
